# Null-Hypothese: '0'=Füller, AENzKM[NAM

 467. TRACY MATO                 score=0.15072
 468. TRACY MATH                 score=0.15072
 469. TRACY MATE                 score=0.15072
 470. TRACY MATA                 score=0.15072
 471. TRACY LATZ                 score=0.15072
 472. TRACY LATU                 score=0.15072
 473. TRACY LATO                 score=0.15072
 474. TRACY LATE                 score=0.15072
 475. TRACY KATZ                 score=0.15072
 476. TRACY KATT                 score=0.15072
 477. TRACY KATS                 score=0.15072
 478. TRACY KATO                 score=0.15072
 479. TRACY KATH                 score=0.15072
 480. TRACY KATE                 score=0.15072
 481. TRACY KATA                 score=0.15072
 482. TRACY HATT                 score=0.15072
 483. TRACY GATZ                 score=0.15072
 484. TRACY GATO                 score=0.15072
 485. TRACY GATH                 score=0.15072
 486. TRACY GATE                 score=0.15072
 487. TRACY GATA                 score=0.15072
 488. TRACY FATH                 score=0.15072
 489. TRACY FATE                 score=0.15072
 490. TRACY FATA                 score=0.15072
 491. TRACY DATZ                 score=0.15072
 492. TRACY DATY                 score=0.15072
 493. TRACY DATU                 score=0.15072
 494. TRACY DATT                 score=0.15072
 495. TRACY DATO                 score=0.15072
 496. TRACY CATT                 score=0.15072
 497. TRACY CATO                 score=0.15072
 498. TRACY CATE                 score=0.15072
 499. TRACY CATA                 score=0.15072
 500. TRACY BATZ                 score=0.15072
 501. TRACY BATY                 score=0.15072
 502. TRACY BATT                 score=0.15072
 503. TRACY BATH                 score=0.15072
 504. TRACY BATE                 score=0.15072
 505. DALESTOLDT                 score=0.14498
 506. CONNIEINCE                 score=0.14431
 507. CONNIEENCE                 score=0.14431
 508. TINAGORNTO                 score=0.14175
 509. TINA ZENTZ                 score=0.14175
 510. LOISWARILA                 score=0.14022
 511. LOISSOBILO                 score=0.14022
 512. LOISPANILA                 score=0.14022
 513. LOISMANILA                 score=0.14022
 514. LOISLAPILA                 score=0.14022
 515. LOISFAVILA                 score=0.14022
 516. LOISDAVILA                 score=0.14022
 517. LOISDAUILA                 score=0.14022
 518. LOISBELILE                 score=0.14022
 519. LOISBASILA                 score=0.14022
 520. LOIS TRILT                 score=0.14022
 521. LOIS SEILS                 score=0.14022
 522. LOIS SAILS                 score=0.14022
 523. LOIS PHILP                 score=0.14022
 524. LOIS EMILE                 score=0.14022
 525. LOIS AVILA                 score=0.14022
 526. LOIS AUILA                 score=0.14022
 527. LOIS ABILA                 score=0.14022
 528. DIANAAWADA                 score=0.13989
 529. DIANA ZADE                 score=0.13989
 530. DIANA ZADD                 score=0.13989
 531. DIANA WADE                 score=0.13989
 532. DIANA WADA                 score=0.13989
 533. DIANA TADT                 score=0.13989
 534. DIANA TADE                 score=0.13989
 535. DIANA TADD                 score=0.13989
 536. DIANA TADA                 score=0.13989
 537. DIANA SADE                 score=0.13989
 538. DIANA SADA                 score=0.13989
 539. DIANA RADY                 score=0.13989
 540. DIANA RADO                 score=0.13989
 541. DIANA RADE                 score=0.13989
 542. DIANA RADA                 score=0.13989
 543. DIANA MADY                 score=0.13989
 544. DIANA MADU                 score=0.13989
 545. DIANA MADI                 score=0.13989
 546. DIANA MADA                 score=0.13989
 547. DIANA LADY                 score=0.13989
 548. DIANA LADT                 score=0.13989
 549. DIANA LADO                 score=0.13989
 550. DIANA LADE                 score=0.13989
 551. DIANA LADD                 score=0.13989
 552. DIANA LADA                 score=0.13989
 553. DIANA KADY                 score=0.13989
 554. DIANA KADI                 score=0.13989
 555. DIANA KADE                 score=0.13989
 556. DIANA HADY                 score=0.13989
 557. DIANA HADE                 score=0.13989
 558. DIANA HADA                 score=0.13989
 559. DIANA GADY                 score=0.13989
 560. DIANA GADE                 score=0.13989
 561. DIANA GADD                 score=0.13989
 562. DIANA EADY                 score=0.13989
 563. DIANA EADS                 score=0.13989
 564. DIANA EADE                 score=0.13989
 565. DIANA DADY                 score=0.13989
 566. DIANA DADO                 score=0.13989
 567. DIANA DADE                 score=0.13989
 568. DIANA DADD                 score=0.13989
 569. DIANA DADA                 score=0.13989
 570. DIANA CADY                 score=0.13989
 571. DIANA CADE                 score=0.13989
 572. DIANA CADA                 score=0.13989
 573. DIANA BADY                 score=0.13989
 574. DIANA BADO                 score=0.13989
 575. DIANA BADE                 score=0.13989
 576. PAULA ZUPP                 score=0.13930
 577. PAULA YUPE                 score=0.13930
 578. PAULA TUPY                 score=0.13930
 579. PAULA TUPA                 score=0.13930
 580. PAULA RUPP                 score=0.13930
 581. PAULA RUPE                 score=0.13930
 582. PAULA PUPO                 score=0.13930
 583. PAULA PUPA                 score=0.13930
 584. PAULA LUPU                 score=0.13930
 585. PAULA LUPO                 score=0.13930
 586. PAULA LUPI                 score=0.13930
 587. PAULA HUPY                 score=0.13930
 588. PAULA HUPP                 score=0.13930
 589. PAULA HUPF                 score=0.13930
 590. PAULA HUPE                 score=0.13930
 591. PAULA CUPP                 score=0.13930
 592. PAULA CUPE                 score=0.13930
 593. PAULA BUPP                 score=0.13930
 594. KATHRYN KY                 score=0.13803
 595. LESLIEOSLE                 score=0.13711
 596. LESLIEISLE                 score=0.13711
 597. ALANMINAAI                 score=0.13487
 598. ALAN KNAAK                 score=0.13487
 599. EVELYNVEEN                 score=0.13369
 600. EVELYNSEEN                 score=0.13369
 601. EVELYNREEN                 score=0.13369
 602. EVELYNLEEN                 score=0.13369
 603. EVELYNKEEN                 score=0.13369
 604. EVELYNGEEN                 score=0.13369
 605. EVELYNDEEN                 score=0.13369
 606. EVELYNBEEN                 score=0.13369
 607. PHILIPZIPP                 score=0.13130
